56	-45	8
6	20	29
39	9	48
7	-80	20
26	-3	-33
37	-41	-24
43	-70	29
54	-37	-25
8	-44	22
33	-90	-3
26	32	-18
14	-68	-5
8	35	-18
60	-31	-11
26	-29	-18
8	-26	60
49	16	14
43	39	-13
47	30	4
12	-80	6
47	-20	44
6	-18	40
42	-5	47
10	-59	39
7	36	0
35	48	16
13	28	44
24	-65	50
55	-11	-3
55	-39	37
9	65	-13
34	13	-38
45	-20	10
37	1	0
28	-68	-37
14	-17	8
15	12	10
26	3	1
20	-5	1
28	-23	-12
25	-4	-18
10	13	-9
-12	-16	8
-13	12	10
-24	4	1
-18	-3	0
-25	-20	-13
-22	-2	-18
-8	14	-10
-53	-41	9
-4	21	29
-36	12	49
-7	-80	19
-21	-3	-33
-34	-39	-24
-42	-65	31
-49	-33	-26
-6	-43	22
-31	-88	-4
-21	31	-18
-13	-68	-5
-4	38	-18
-57	-27	-13
-23	-30	-16
-6	-25	60
-46	19	15
-39	42	-13
-46	34	5
-12	-80	6
-46	-19	43
-4	-17	40
-39	-2	47
-9	-58	38
-3	35	0
-31	47	18
-8	30	44
-23	-62	51
-53	-9	-5
-53	-33	33
-6	65	-15
-28	14	-37
-44	-18	11
-35	4	-1
-27	-66	-36
